<< TD learning for game 2048 >>
[hyper-parameter] alpha = 0.1
[hyper-parameter] total = 1000000
[hyper-parameter] seed  = 3468832465
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.1%)
	256	99.7%	(0.2%)
	512	99.5%	(2.2%)
	1024	97.3%	(7.5%)
	2048	89.8%	(24.4%)
	4096	65.4%	(41.4%)
	8192	24%	(24%)
447000	mean = 68510.7	max = 177240
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(1.7%)
	1024	97.7%	(6.9%)
	2048	90.8%	(26.3%)
	4096	64.5%	(43.1%)
	8192	21.4%	(21.4%)
448000	mean = 68620.9	max = 173136
	256	100%	(0.4%)
	512	99.6%	(2.2%)
	1024	97.4%	(6.3%)
	2048	91.1%	(25%)
	4096	66.1%	(44.9%)
	8192	21.2%	(21.2%)
449000	mean = 70450.4	max = 175820
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(0.4%)
	512	99.1%	(1.9%)
	1024	97.2%	(5.5%)
	2048	91.7%	(24.8%)
	4096	66.9%	(44.3%)
	8192	22.6%	(22.6%)
450000	mean = 68825.2	max = 177236
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.7%)
	1024	98%	(6.6%)
	2048	91.4%	(26.4%)
	4096	65%	(44.3%)
	8192	20.7%	(20.7%)
451000	mean = 68914.7	max = 176464
	64	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.8%)
	1024	97.7%	(6.5%)
	2048	91.2%	(26.8%)
	4096	64.4%	(41.7%)
	8192	22.7%	(22.7%)
452000	mean = 69436.7	max = 175628
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.4%)
	1024	98.1%	(6.7%)
	2048	91.4%	(26.7%)
	4096	64.7%	(42.4%)
	8192	22.3%	(22.3%)
453000	mean = 70013.1	max = 176516
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.3%)
	512	99.4%	(1.9%)
	1024	97.5%	(6.9%)
	2048	90.6%	(26.4%)
	4096	64.2%	(40.3%)
	8192	23.9%	(23.9%)
454000	mean = 68399.2	max = 177012
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(2.4%)
	1024	96.9%	(6.6%)
	2048	90.3%	(28.8%)
	4096	61.5%	(38.2%)
	8192	23.3%	(23.3%)
455000	mean = 67676.5	max = 187300
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.5%)
	512	99.1%	(1.1%)
	1024	98%	(7.3%)
	2048	90.7%	(26.3%)
	4096	64.4%	(42.9%)
	8192	21.5%	(21.5%)
456000	mean = 65178.5	max = 173460
	128	100%	(0.1%)
	256	99.9%	(1%)
	512	98.9%	(2.5%)
	1024	96.4%	(7.9%)
	2048	88.5%	(27%)
	4096	61.5%	(41.5%)
	8192	20%	(20%)
457000	mean = 67309.1	max = 175468
	128	100%	(0.2%)
	256	99.8%	(0.2%)
	512	99.6%	(2%)
	1024	97.6%	(8.8%)
	2048	88.8%	(25.8%)
	4096	63%	(41.8%)
	8192	21.2%	(21.2%)
458000	mean = 69272.3	max = 175532
	128	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(1.6%)
	1024	97.9%	(5.8%)
	2048	92.1%	(27.6%)
	4096	64.5%	(42%)
	8192	22.5%	(22.5%)
459000	mean = 69518.4	max = 176240
	64	100%	(0.5%)
	256	99.5%	(0.4%)
	512	99.1%	(2.1%)
	1024	97%	(7.8%)
	2048	89.2%	(24.5%)
	4096	64.7%	(40.7%)
	8192	24%	(24%)
460000	mean = 69314.8	max = 175740
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.4%)
	512	99.4%	(1.9%)
	1024	97.5%	(5.9%)
	2048	91.6%	(26.7%)
	4096	64.9%	(42.1%)
	8192	22.8%	(22.8%)
461000	mean = 63888.9	max = 176580
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(0.6%)
	256	99.1%	(0.7%)
	512	98.4%	(2.2%)
	1024	96.2%	(7.9%)
	2048	88.3%	(29.7%)
	4096	58.6%	(40%)
	8192	18.6%	(18.6%)
462000	mean = 68139.3	max = 176528
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.8%)
	512	99%	(2.2%)
	1024	96.8%	(5.4%)
	2048	91.4%	(25.9%)
	4096	65.5%	(43.3%)
	8192	22.2%	(22.2%)
463000	mean = 68105	max = 175520
	256	100%	(0.1%)
	512	99.9%	(1.8%)
	1024	98.1%	(6.8%)
	2048	91.3%	(26.8%)
	4096	64.5%	(43.1%)
	8192	21.4%	(21.4%)
464000	mean = 68899.5	max = 176948
	256	100%	(0.3%)
	512	99.7%	(2.9%)
	1024	96.8%	(6.5%)
	2048	90.3%	(25.3%)
	4096	65%	(42.6%)
	8192	22.4%	(22.4%)
465000	mean = 70394.9	max = 175880
	128	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(1.3%)
	1024	98.2%	(6.7%)
	2048	91.5%	(26.4%)
	4096	65.1%	(40.5%)
	8192	24.6%	(24.6%)
466000	mean = 67973	max = 175476
	32	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.3%)
	512	99.5%	(1.4%)
	1024	98.1%	(7.5%)
	2048	90.6%	(26.9%)
	4096	63.7%	(43.3%)
	8192	20.4%	(20.4%)
467000	mean = 68227	max = 175216
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.5%)
	512	99.1%	(2%)
	1024	97.1%	(7.9%)
	2048	89.2%	(27%)
	4096	62.2%	(39.7%)
	8192	22.5%	(22.5%)
468000	mean = 65786	max = 175908
	64	100%	(0.3%)
	128	99.7%	(0.2%)
	256	99.5%	(0.6%)
	512	98.9%	(2.4%)
	1024	96.5%	(6.7%)
	2048	89.8%	(30%)
	4096	59.8%	(38.7%)
	8192	21.1%	(21.1%)
469000	mean = 69275.7	max = 174096
	128	100%	(0.5%)
	256	99.5%	(0.2%)
	512	99.3%	(1.8%)
	1024	97.5%	(6.8%)
	2048	90.7%	(24.3%)
	4096	66.4%	(43.9%)
	8192	22.5%	(22.5%)
470000	mean = 68671.2	max = 175084
	64	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(1.8%)
	1024	97.7%	(6.3%)
	2048	91.4%	(27.1%)
	4096	64.3%	(42.4%)
	8192	21.9%	(21.9%)
471000	mean = 69877.5	max = 173068
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(2.5%)
	1024	96.9%	(8%)
	2048	88.9%	(24.6%)
	4096	64.3%	(40.1%)
	8192	24.2%	(24.2%)
472000	mean = 67010.6	max = 176964
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.3%)
	512	99.4%	(1.9%)
	1024	97.5%	(6.4%)
	2048	91.1%	(29.6%)
	4096	61.5%	(40.9%)
	8192	20.6%	(20.6%)
473000	mean = 68453.7	max = 177304
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(2.1%)
	1024	97.6%	(6.2%)
	2048	91.4%	(27.6%)
	4096	63.8%	(43.3%)
	8192	20.5%	(20.5%)
474000	mean = 66622.7	max = 176628
	128	100%	(0.2%)
	256	99.8%	(0.6%)
	512	99.2%	(2.5%)
	1024	96.7%	(6.2%)
	2048	90.5%	(27.9%)
	4096	62.6%	(41.2%)
	8192	21.4%	(21.4%)
475000	mean = 69750.1	max = 176644
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.2%)
	256	99.6%	(0.3%)
	512	99.3%	(2.4%)
	1024	96.9%	(6.5%)
	2048	90.4%	(25.7%)
	4096	64.7%	(40.6%)
	8192	24.1%	(24.1%)
476000	mean = 72447	max = 175436
	128	100%	(0.1%)
	256	99.9%	(0.1%)
	512	99.8%	(1.5%)
	1024	98.3%	(5.5%)
	2048	92.8%	(25.7%)
	4096	67.1%	(41.6%)
	8192	25.5%	(25.5%)
477000	mean = 71837.7	max = 176956
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.1%)
	512	99.5%	(2.7%)
	1024	96.8%	(7%)
	2048	89.8%	(22.9%)
	4096	66.9%	(40.8%)
	8192	26.1%	(26.1%)
478000	mean = 71345.3	max = 175744
	256	100%	(0.1%)
	512	99.9%	(1.3%)
	1024	98.6%	(7.4%)
	2048	91.2%	(26.4%)
	4096	64.8%	(40%)
	8192	24.8%	(24.8%)
479000	mean = 70075	max = 175392
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.2%)
	1024	98.3%	(6.2%)
	2048	92.1%	(28.6%)
	4096	63.5%	(39.5%)
	8192	24%	(24%)
480000	mean = 71597.9	max = 176388
	128	100%	(0.1%)
	256	99.9%	(0.1%)
	512	99.8%	(1.1%)
	1024	98.7%	(6.3%)
	2048	92.4%	(25.6%)
	4096	66.8%	(42.6%)
	8192	24.2%	(24.2%)
481000	mean = 71670.4	max = 174904
	128	100%	(0.4%)
	256	99.6%	(0.5%)
	512	99.1%	(1%)
	1024	98.1%	(6.6%)
	2048	91.5%	(26.8%)
	4096	64.7%	(38.7%)
	8192	26%	(26%)
482000	mean = 68485.6	max = 175484
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(2.2%)
	1024	97.2%	(6.6%)
	2048	90.6%	(26.2%)
	4096	64.4%	(42.2%)
	8192	22.2%	(22.2%)
483000	mean = 69906.2	max = 177228
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.2%)
	512	99.4%	(1.8%)
	1024	97.6%	(6%)
	2048	91.6%	(28.3%)
	4096	63.3%	(39.2%)
	8192	24.1%	(24.1%)
484000	mean = 71138.9	max = 177332
	256	100%	(0.5%)
	512	99.5%	(1.4%)
	1024	98.1%	(5.5%)
	2048	92.6%	(27.9%)
	4096	64.7%	(40%)
	8192	24.7%	(24.7%)
485000	mean = 69580.5	max = 175404
	32	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.5%)
	1024	98%	(6.8%)
	2048	91.2%	(26.3%)
	4096	64.9%	(41.7%)
	8192	23.2%	(23.2%)
486000	mean = 71125.6	max = 176720
	128	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(2%)
	1024	97.5%	(6.7%)
	2048	90.8%	(24.6%)
	4096	66.2%	(41.1%)
	8192	25.1%	(25.1%)
487000	mean = 70399.6	max = 173256
	16	100%	(0.1%)
	64	99.9%	(0.1%)
	256	99.8%	(0.8%)
	512	99%	(1.3%)
	1024	97.7%	(6.6%)
	2048	91.1%	(25.5%)
	4096	65.6%	(40.5%)
	8192	25.1%	(25.1%)
488000	mean = 72320.6	max = 177052
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.2%)
	512	99.4%	(1.5%)
	1024	97.9%	(6.5%)
	2048	91.4%	(24.7%)
	4096	66.7%	(41%)
	8192	25.7%	(25.7%)
489000	mean = 70958.9	max = 177200
	128	100%	(0.2%)
	256	99.8%	(0.8%)
	512	99%	(1.6%)
	1024	97.4%	(7.7%)
	2048	89.7%	(24.9%)
	4096	64.8%	(39.9%)
	8192	24.9%	(24.9%)
490000	mean = 71945.1	max = 175624
	64	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(0.9%)
	1024	98.5%	(5.5%)
	2048	93%	(26.2%)
	4096	66.8%	(42.6%)
	8192	24.2%	(24.2%)
491000	mean = 70877.3	max = 175088
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.3%)
	512	99.4%	(1.5%)
	1024	97.9%	(5.6%)
	2048	92.3%	(28.3%)
	4096	64%	(39.3%)
	8192	24.7%	(24.7%)
492000	mean = 73528	max = 175444
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.3%)
	512	99.5%	(1.4%)
	1024	98.1%	(5.7%)
	2048	92.4%	(24.9%)
	4096	67.5%	(41.1%)
	8192	26.4%	(26.4%)
493000	mean = 69781.7	max = 174924
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(0.5%)
	512	98.9%	(1.6%)
	1024	97.3%	(7.1%)
	2048	90.2%	(27.3%)
	4096	62.9%	(38.8%)
	8192	24.1%	(24.1%)
494000	mean = 71002.7	max = 176620
	64	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(2.1%)
	1024	97.3%	(6.8%)
	2048	90.5%	(24.7%)
	4096	65.8%	(41.5%)
	8192	24.3%	(24.3%)
495000	mean = 71254.3	max = 182220
	128	100%	(0.2%)
	256	99.8%	(0.1%)
	512	99.7%	(2.1%)
	1024	97.6%	(6.6%)
	2048	91%	(24.5%)
	4096	66.5%	(41.5%)
	8192	25%	(25%)
496000	mean = 74265.8	max = 176780
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.4%)
	512	99.2%	(1.5%)
	1024	97.7%	(4.6%)
	2048	93.1%	(25.2%)
	4096	67.9%	(42%)
	8192	25.9%	(25.9%)
497000	mean = 71173	max = 201400
	128	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(1.4%)
	1024	98%	(7.2%)
	2048	90.8%	(25.3%)
	4096	65.5%	(40%)
	8192	25.5%	(25.5%)
498000	mean = 72091.1	max = 174824
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.6%)
	1024	98%	(7.1%)
	2048	90.9%	(25.3%)
	4096	65.6%	(39.6%)
	8192	26%	(26%)
499000	mean = 65113.3	max = 173448
	64	100%	(0.3%)
	128	99.7%	(0.3%)
	256	99.4%	(0.4%)
	512	99%	(2.9%)
	1024	96.1%	(8.5%)
	2048	87.6%	(26.5%)
	4096	61.1%	(39.6%)
	8192	21.5%	(21.5%)
500000	mean = 70113.4	max = 175240
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(1.6%)
	1024	97.8%	(7%)
	2048	90.8%	(26%)
	4096	64.8%	(39.7%)
	8192	25.1%	(25.1%)
501000	mean = 72384.2	max = 176100
	256	100%	(0.4%)
	512	99.6%	(1.8%)
	1024	97.8%	(6.3%)
	2048	91.5%	(23.3%)
	4096	68.2%	(42.9%)
	8192	25.3%	(25.3%)
502000	mean = 74723.7	max = 226128
	64	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(1.4%)
	1024	97.8%	(6.2%)
	2048	91.6%	(23.9%)
	4096	67.7%	(39.1%)
	8192	28.6%	(28.5%)
	16384	0.1%	(0.1%)
503000	mean = 73770	max = 177044
	128	100%	(0.3%)
	256	99.7%	(0.2%)
	512	99.5%	(1.6%)
	1024	97.9%	(6.3%)
	2048	91.6%	(24.8%)
	4096	66.8%	(38.9%)
	8192	27.9%	(27.9%)
504000	mean = 74245.3	max = 174992
	32	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.3%)
	512	99.5%	(1.6%)
	1024	97.9%	(6.2%)
	2048	91.7%	(24.7%)
	4096	67%	(39.2%)
	8192	27.8%	(27.8%)
505000	mean = 71032.5	max = 174916
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(0.4%)
	512	99%	(1.4%)
	1024	97.6%	(7.1%)
	2048	90.5%	(25.6%)
	4096	64.9%	(40.4%)
	8192	24.5%	(24.5%)
506000	mean = 72645.8	max = 175108
	128	100%	(0.2%)
	256	99.8%	(0.6%)
	512	99.2%	(1.5%)
	1024	97.7%	(6.6%)
	2048	91.1%	(24.6%)
	4096	66.5%	(40%)
	8192	26.5%	(26.5%)
507000	mean = 74832	max = 175136
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.3%)
	512	99.4%	(1.4%)
	1024	98%	(5.9%)
	2048	92.1%	(24.3%)
	4096	67.8%	(38.3%)
	8192	29.5%	(29.5%)
508000	mean = 75216.5	max = 175264
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(2.1%)
	1024	97.5%	(6.4%)
	2048	91.1%	(21.9%)
	4096	69.2%	(40.1%)
	8192	29.1%	(29.1%)
509000	mean = 72896.4	max = 175424
	256	100%	(0.6%)
	512	99.4%	(1.4%)
	1024	98%	(6.9%)
	2048	91.1%	(24.9%)
	4096	66.2%	(39.5%)
	8192	26.7%	(26.7%)
510000	mean = 72296.7	max = 176060
	256	100%	(0.2%)
	512	99.8%	(2.1%)
	1024	97.7%	(5.9%)
	2048	91.8%	(23.9%)
	4096	67.9%	(43.3%)
	8192	24.6%	(24.6%)
511000	mean = 73216.5	max = 177292
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.8%)
	1024	97.8%	(5.5%)
	2048	92.3%	(25%)
	4096	67.3%	(40.5%)
	8192	26.8%	(26.8%)
512000	mean = 73974.4	max = 176200
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(2%)
	1024	97.4%	(6.7%)
	2048	90.7%	(23.3%)
	4096	67.4%	(39.5%)
	8192	27.9%	(27.9%)
513000	mean = 71794.5	max = 175720
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.5%)
	1024	98.2%	(6.9%)
	2048	91.3%	(26%)
	4096	65.3%	(40.2%)
	8192	25.1%	(25.1%)
514000	mean = 72524.5	max = 175380
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(2.1%)
	1024	97.4%	(7.2%)
	2048	90.2%	(23.4%)
	4096	66.8%	(40%)
	8192	26.8%	(26.8%)
515000	mean = 68729.9	max = 174812
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(2.7%)
	1024	96.9%	(8.2%)
	2048	88.7%	(26.4%)
	4096	62.3%	(38.4%)
	8192	23.9%	(23.9%)
516000	mean = 75199.4	max = 218040
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(1.1%)
	1024	98.3%	(5.5%)
	2048	92.8%	(23.5%)
	4096	69.3%	(41.3%)
	8192	28%	(27.9%)
	16384	0.1%	(0.1%)
517000	mean = 72396.7	max = 228004
	128	100%	(0.2%)
	256	99.8%	(0.7%)
	512	99.1%	(1.8%)
	1024	97.3%	(6.8%)
	2048	90.5%	(23.5%)
	4096	67%	(40.5%)
	8192	26.5%	(26.4%)
	16384	0.1%	(0.1%)
518000	mean = 72792.1	max = 175612
	128	100%	(0.3%)
	256	99.7%	(0.5%)
	512	99.2%	(1.5%)
	1024	97.7%	(5.4%)
	2048	92.3%	(26.8%)
	4096	65.5%	(39.1%)
	8192	26.4%	(26.4%)
519000	mean = 72740.5	max = 174312
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.5%)
	512	99.2%	(1.3%)
	1024	97.9%	(6.2%)
	2048	91.7%	(23.5%)
	4096	68.2%	(42.5%)
	8192	25.7%	(25.7%)
520000	mean = 74819.1	max = 175272
	128	100%	(0.3%)
	256	99.7%	(0.5%)
	512	99.2%	(1.9%)
	1024	97.3%	(5.3%)
	2048	92%	(23.3%)
	4096	68.7%	(40.9%)
	8192	27.8%	(27.8%)
521000	mean = 72497.7	max = 176588
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.2%)
	512	99.5%	(0.9%)
	1024	98.6%	(6.9%)
	2048	91.7%	(24.6%)
	4096	67.1%	(41.6%)
	8192	25.5%	(25.5%)
522000	mean = 73730.1	max = 175424
	128	100%	(0.3%)
	256	99.7%	(0.2%)
	512	99.5%	(1.2%)
	1024	98.3%	(5.2%)
	2048	93.1%	(23.5%)
	4096	69.6%	(43.2%)
	8192	26.4%	(26.4%)
523000	mean = 71454.3	max = 175696
	128	100%	(0.3%)
	256	99.7%	(0.9%)
	512	98.8%	(1.8%)
	1024	97%	(6.4%)
	2048	90.6%	(23.9%)
	4096	66.7%	(41.9%)
	8192	24.8%	(24.8%)
524000	mean = 73682.4	max = 220544
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.3%)
	512	99.5%	(1.5%)
	1024	98%	(6.6%)
	2048	91.4%	(24.3%)
	4096	67.1%	(39.7%)
	8192	27.4%	(27.3%)
	16384	0.1%	(0.1%)
525000	mean = 71815.6	max = 175508
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(0.8%)
	512	98.7%	(1.8%)
	1024	96.9%	(5.3%)
	2048	91.6%	(26.2%)
	4096	65.4%	(38.4%)
	8192	27%	(27%)
526000	mean = 73832.5	max = 176404
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.9%)
	512	98.7%	(1.6%)
	1024	97.1%	(6.3%)
	2048	90.8%	(22.2%)
	4096	68.6%	(41%)
	8192	27.6%	(27.6%)
527000	mean = 72735	max = 174948
	64	100%	(0.2%)
	128	99.8%	(0.1%)
	256	99.7%	(0.6%)
	512	99.1%	(1.7%)
	1024	97.4%	(6.5%)
	2048	90.9%	(24.4%)
	4096	66.5%	(40%)
	8192	26.5%	(26.5%)
528000	mean = 72887.5	max = 176484
	32	100%	(0.1%)
	256	99.9%	(0.9%)
	512	99%	(1.8%)
	1024	97.2%	(4.7%)
	2048	92.5%	(24.7%)
	4096	67.8%	(41.4%)
	8192	26.4%	(26.4%)
529000	mean = 74726.7	max = 175548
	128	100%	(0.3%)
	256	99.7%	(0.5%)
	512	99.2%	(1.6%)
	1024	97.6%	(4.7%)
	2048	92.9%	(25.6%)
	4096	67.3%	(39.4%)
	8192	27.9%	(27.9%)
530000	mean = 73202.9	max = 177012
	128	100%	(0.1%)
	256	99.9%	(0.6%)
	512	99.3%	(2.6%)
	1024	96.7%	(6.3%)
	2048	90.4%	(23%)
	4096	67.4%	(40.4%)
	8192	27%	(27%)
531000	mean = 74064.9	max = 176764
	128	100%	(0.4%)
	256	99.6%	(0.4%)
	512	99.2%	(1.6%)
	1024	97.6%	(6.5%)
	2048	91.1%	(21.5%)
	4096	69.6%	(42.5%)
	8192	27.1%	(27.1%)
532000	mean = 74213.3	max = 176344
	128	100%	(0.1%)
	512	99.9%	(1%)
	1024	98.9%	(7%)
	2048	91.9%	(24.7%)
	4096	67.2%	(39.4%)
	8192	27.8%	(27.8%)
533000	mean = 72159.3	max = 174532
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.5%)
	512	99.2%	(1.4%)
	1024	97.8%	(7.4%)
	2048	90.4%	(25%)
	4096	65.4%	(39.5%)
	8192	25.9%	(25.9%)
534000	mean = 71678.3	max = 176348
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(0.1%)
	512	99.3%	(1.9%)
	1024	97.4%	(5%)
	2048	92.4%	(25.8%)
	4096	66.6%	(42.2%)
	8192	24.4%	(24.4%)
535000	mean = 73851.2	max = 176776
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(0.6%)
	512	98.9%	(1.6%)
	1024	97.3%	(6.8%)
	2048	90.5%	(23.5%)
	4096	67%	(38.8%)
	8192	28.2%	(28.2%)
536000	mean = 73489	max = 175664
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(0.1%)
	256	99.6%	(0.2%)
	512	99.4%	(1.9%)
	1024	97.5%	(6.8%)
	2048	90.7%	(23.8%)
	4096	66.9%	(39.8%)
	8192	27.1%	(27.1%)
537000	mean = 74767.8	max = 176572
	128	100%	(0.3%)
	256	99.7%	(0.3%)
	512	99.4%	(1.2%)
	1024	98.2%	(6%)
	2048	92.2%	(21.5%)
	4096	70.7%	(43.8%)
	8192	26.9%	(26.9%)
538000	mean = 74792.1	max = 175100
	64	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(1.7%)
	1024	97.6%	(5.9%)
	2048	91.7%	(22.8%)
	4096	68.9%	(40.5%)
	8192	28.4%	(28.4%)
539000	mean = 75429	max = 176068
	256	100%	(0.4%)
	512	99.6%	(1.3%)
	1024	98.3%	(6.4%)
	2048	91.9%	(21.4%)
	4096	70.5%	(42.4%)
	8192	28.1%	(28.1%)
540000	mean = 72922	max = 175208
	128	100%	(0.3%)
	256	99.7%	(0.7%)
	512	99%	(1.1%)
	1024	97.9%	(6.2%)
	2048	91.7%	(24.5%)
	4096	67.2%	(41%)
	8192	26.2%	(26.2%)
541000	mean = 76477.3	max = 177184
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.4%)
	1024	98.1%	(6.1%)
	2048	92%	(20.3%)
	4096	71.7%	(42.1%)
	8192	29.6%	(29.6%)
542000	mean = 72924.6	max = 175040
	128	100%	(0.3%)
	256	99.7%	(0.2%)
	512	99.5%	(1.6%)
	1024	97.9%	(6.2%)
	2048	91.7%	(24%)
	4096	67.7%	(40.2%)
	8192	27.5%	(27.5%)
543000	mean = 73998.4	max = 175676
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.6%)
	1024	98.1%	(6.4%)
	2048	91.7%	(22.1%)
	4096	69.6%	(42%)
	8192	27.6%	(27.6%)
544000	mean = 72207.2	max = 175732
	128	100%	(0.3%)
	256	99.7%	(0.8%)
	512	98.9%	(2.5%)
	1024	96.4%	(5.4%)
	2048	91%	(24.1%)
	4096	66.9%	(40%)
	8192	26.9%	(26.9%)
545000	mean = 72646	max = 180288
	64	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(2.1%)
	1024	97.5%	(7.9%)
	2048	89.6%	(21.1%)
	4096	68.5%	(42.7%)
	8192	25.8%	(25.8%)
546000	mean = 73801	max = 174868
	64	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1%)
	1024	98.6%	(8.3%)
	2048	90.3%	(24%)
	4096	66.3%	(38.2%)
	8192	28.1%	(28.1%)
547000	mean = 74417.3	max = 175068
	64	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.2%)
	1024	98.3%	(6.6%)
	2048	91.7%	(22.1%)
	4096	69.6%	(41.3%)
	8192	28.3%	(28.3%)
548000	mean = 73012	max = 175664
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.4%)
	1024	98.3%	(7.5%)
	2048	90.8%	(25.4%)
	4096	65.4%	(37.7%)
	8192	27.7%	(27.7%)
549000	mean = 75057.5	max = 176816
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.6%)
	1024	98%	(6.9%)
	2048	91.1%	(23.6%)
	4096	67.5%	(38.8%)
	8192	28.7%	(28.7%)
550000	mean = 71484.4	max = 174952
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.4%)
	512	99.2%	(1.8%)
	1024	97.4%	(5.9%)
	2048	91.5%	(25.6%)
	4096	65.9%	(40.5%)
	8192	25.4%	(25.4%)
551000	mean = 75050.5	max = 175740
	128	100%	(0.1%)
	256	99.9%	(0.1%)
	512	99.8%	(0.6%)
	1024	99.2%	(7%)
	2048	92.2%	(23.5%)
	4096	68.7%	(40.6%)
	8192	28.1%	(28.1%)
552000	mean = 74552.6	max = 177180
	128	100%	(0.2%)
	256	99.8%	(0.6%)
	512	99.2%	(1.9%)
	1024	97.3%	(7.2%)
	2048	90.1%	(21.1%)
	4096	69%	(41.1%)
	8192	27.9%	(27.9%)
553000	mean = 73905.8	max = 177108
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.4%)
	512	99.4%	(0.9%)
	1024	98.5%	(6.3%)
	2048	92.2%	(23.5%)
	4096	68.7%	(42.4%)
	8192	26.3%	(26.3%)
554000	mean = 74077.2	max = 176412
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.1%)
	512	99.5%	(2%)
	1024	97.5%	(6.1%)
	2048	91.4%	(21.3%)
	4096	70.1%	(43.6%)
	8192	26.5%	(26.5%)
