<< TD learning for game 2048 >>
[hyper-parameter] alpha = 0.1
[hyper-parameter] total = 1000000
[hyper-parameter] seed  = 4191459678
	256	99.7%	(4.1%)
	512	95.6%	(11.6%)
	1024	84%	(26.9%)
	2048	57.1%	(44.8%)
	4096	12.3%	(12.3%)
483000	mean = 26809.4	max = 80516
	64	100%	(0.3%)
	128	99.7%	(0.6%)
	256	99.1%	(4.1%)
	512	95%	(10.2%)
	1024	84.8%	(27.6%)
	2048	57.2%	(44.4%)
	4096	12.8%	(12.8%)
484000	mean = 26923.3	max = 78868
	128	100%	(0.3%)
	256	99.7%	(3.6%)
	512	96.1%	(9%)
	1024	87.1%	(26.3%)
	2048	60.8%	(49.4%)
	4096	11.4%	(11.4%)
485000	mean = 26603	max = 75608
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(4.3%)
	512	95.3%	(10.6%)
	1024	84.7%	(24.9%)
	2048	59.8%	(48.2%)
	4096	11.6%	(11.6%)
486000	mean = 26731.7	max = 78984
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(3.4%)
	512	96.2%	(11.2%)
	1024	85%	(25.8%)
	2048	59.2%	(47.6%)
	4096	11.6%	(11.6%)
487000	mean = 26760.3	max = 78748
	128	100%	(0.2%)
	256	99.8%	(4.4%)
	512	95.4%	(10.3%)
	1024	85.1%	(25.7%)
	2048	59.4%	(47.7%)
	4096	11.7%	(11.7%)
488000	mean = 26767.9	max = 84532
	64	100%	(0.3%)
	128	99.7%	(0.2%)
	256	99.5%	(4.3%)
	512	95.2%	(9.3%)
	1024	85.9%	(25.3%)
	2048	60.6%	(49.4%)
	4096	11.2%	(11.2%)
489000	mean = 26520	max = 77412
	128	100%	(0.6%)
	256	99.4%	(4.9%)
	512	94.5%	(10.2%)
	1024	84.3%	(25.4%)
	2048	58.9%	(47.1%)
	4096	11.8%	(11.8%)
490000	mean = 26394.7	max = 84476
	128	100%	(0.4%)
	256	99.6%	(4.5%)
	512	95.1%	(11.7%)
	1024	83.4%	(25.2%)
	2048	58.2%	(47.4%)
	4096	10.8%	(10.8%)
491000	mean = 26489.9	max = 75160
	64	100%	(0.3%)
	128	99.7%	(0.8%)
	256	98.9%	(4.7%)
	512	94.2%	(12.3%)
	1024	81.9%	(22.7%)
	2048	59.2%	(47.2%)
	4096	12%	(12%)
492000	mean = 25980.1	max = 78680
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.2%)
	512	95.2%	(12.7%)
	1024	82.5%	(25.6%)
	2048	56.9%	(45.3%)
	4096	11.6%	(11.6%)
493000	mean = 27220.4	max = 81040
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3.8%)
	512	95.7%	(12.6%)
	1024	83.1%	(23%)
	2048	60.1%	(46.1%)
	4096	14%	(14%)
494000	mean = 26601	max = 78344
	64	100%	(0.4%)
	128	99.6%	(1%)
	256	98.6%	(3.9%)
	512	94.7%	(10.2%)
	1024	84.5%	(23.3%)
	2048	61.2%	(50%)
	4096	11.2%	(11.2%)
495000	mean = 27428.8	max = 79776
	128	100%	(0.4%)
	256	99.6%	(3.5%)
	512	96.1%	(10%)
	1024	86.1%	(23.9%)
	2048	62.2%	(49.4%)
	4096	12.8%	(12.8%)
496000	mean = 26387.4	max = 76840
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(4.7%)
	512	94.7%	(11%)
	1024	83.7%	(25.7%)
	2048	58%	(46.4%)
	4096	11.6%	(11.6%)
497000	mean = 27005.9	max = 78688
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3.3%)
	512	96.2%	(11.4%)
	1024	84.8%	(25.6%)
	2048	59.2%	(46.6%)
	4096	12.6%	(12.6%)
498000	mean = 26577.1	max = 83724
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(3.4%)
	512	96%	(11.9%)
	1024	84.1%	(23.4%)
	2048	60.7%	(49.8%)
	4096	10.9%	(10.9%)
499000	mean = 26767.1	max = 78708
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(4.1%)
	512	95%	(9.8%)
	1024	85.2%	(26.1%)
	2048	59.1%	(47.1%)
	4096	12%	(12%)
500000	mean = 27081.3	max = 75548
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.6%)
	256	99.2%	(4%)
	512	95.2%	(10%)
	1024	85.2%	(24.5%)
	2048	60.7%	(48.3%)
	4096	12.4%	(12.4%)
501000	mean = 26613.5	max = 74524
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(4.8%)
	512	94.8%	(10.8%)
	1024	84%	(25.1%)
	2048	58.9%	(47%)
	4096	11.9%	(11.9%)
502000	mean = 26604.5	max = 107256
	64	100%	(0.3%)
	128	99.7%	(0.4%)
	256	99.3%	(4.7%)
	512	94.6%	(10.7%)
	1024	83.9%	(25.4%)
	2048	58.5%	(46.5%)
	4096	12%	(11.9%)
	8192	0.1%	(0.1%)
503000	mean = 26664	max = 76768
	128	100%	(0.9%)
	256	99.1%	(4.1%)
	512	95%	(9.6%)
	1024	85.4%	(26%)
	2048	59.4%	(47.8%)
	4096	11.6%	(11.6%)
504000	mean = 26390.5	max = 81088
	128	100%	(0.5%)
	256	99.5%	(4.3%)
	512	95.2%	(9.7%)
	1024	85.5%	(27.8%)
	2048	57.7%	(46.2%)
	4096	11.5%	(11.5%)
505000	mean = 27080.8	max = 77548
	128	100%	(0.5%)
	256	99.5%	(4.6%)
	512	94.9%	(10.7%)
	1024	84.2%	(24.8%)
	2048	59.4%	(46.5%)
	4096	12.9%	(12.9%)
506000	mean = 26955.3	max = 76728
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(3.6%)
	512	96.1%	(10.2%)
	1024	85.9%	(24.5%)
	2048	61.4%	(49.5%)
	4096	11.9%	(11.9%)
507000	mean = 25995.8	max = 78760
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(5.5%)
	512	93.7%	(10.2%)
	1024	83.5%	(25.9%)
	2048	57.6%	(46.6%)
	4096	11%	(11%)
508000	mean = 26957.7	max = 82768
	128	100%	(0.5%)
	256	99.5%	(4.2%)
	512	95.3%	(10.9%)
	1024	84.4%	(24.3%)
	2048	60.1%	(48%)
	4096	12.1%	(12.1%)
509000	mean = 27116	max = 81900
	128	100%	(0.4%)
	256	99.6%	(4.7%)
	512	94.9%	(11.4%)
	1024	83.5%	(22.7%)
	2048	60.8%	(48.4%)
	4096	12.4%	(12.4%)
510000	mean = 26798.9	max = 82036
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(4.1%)
	512	95.7%	(12.1%)
	1024	83.6%	(25.1%)
	2048	58.5%	(45.7%)
	4096	12.8%	(12.8%)
511000	mean = 27386.5	max = 79432
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3.5%)
	512	96%	(9.5%)
	1024	86.5%	(23.6%)
	2048	62.9%	(50.5%)
	4096	12.4%	(12.4%)
512000	mean = 26869.3	max = 79912
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(5.1%)
	512	94%	(10.6%)
	1024	83.4%	(23%)
	2048	60.4%	(48%)
	4096	12.4%	(12.4%)
513000	mean = 27048.5	max = 78148
	64	100%	(0.4%)
	128	99.6%	(0.7%)
	256	98.9%	(3.4%)
	512	95.5%	(10.2%)
	1024	85.3%	(25.9%)
	2048	59.4%	(47%)
	4096	12.4%	(12.4%)
514000	mean = 27469.4	max = 77416
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(4.1%)
	512	95.2%	(10.3%)
	1024	84.9%	(24.5%)
	2048	60.4%	(46.1%)
	4096	14.3%	(14.3%)
515000	mean = 27353.1	max = 80568
	128	100%	(0.2%)
	256	99.8%	(3.3%)
	512	96.5%	(9.7%)
	1024	86.8%	(25.6%)
	2048	61.2%	(48.6%)
	4096	12.6%	(12.6%)
516000	mean = 26527.2	max = 77196
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(5%)
	512	94%	(11.9%)
	1024	82.1%	(23.8%)
	2048	58.3%	(45.8%)
	4096	12.5%	(12.5%)
517000	mean = 27053.5	max = 77332
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(3.9%)
	512	95.5%	(9.1%)
	1024	86.4%	(25.6%)
	2048	60.8%	(48.2%)
	4096	12.6%	(12.6%)
518000	mean = 27392	max = 80388
	128	100%	(0.4%)
	256	99.6%	(4.5%)
	512	95.1%	(10.7%)
	1024	84.4%	(25%)
	2048	59.4%	(46.1%)
	4096	13.3%	(13.3%)
519000	mean = 26467.5	max = 76208
	128	100%	(0.6%)
	256	99.4%	(3.9%)
	512	95.5%	(10.3%)
	1024	85.2%	(26.9%)
	2048	58.3%	(46.7%)
	4096	11.6%	(11.6%)
520000	mean = 27213.2	max = 83668
	64	100%	(0.3%)
	128	99.7%	(0.6%)
	256	99.1%	(4.9%)
	512	94.2%	(9.5%)
	1024	84.7%	(25%)
	2048	59.7%	(46.5%)
	4096	13.2%	(13.2%)
521000	mean = 27403.3	max = 94984
	128	100%	(0.7%)
	256	99.3%	(4.2%)
	512	95.1%	(11.4%)
	1024	83.7%	(23.4%)
	2048	60.3%	(46.7%)
	4096	13.6%	(13.6%)
522000	mean = 26831.5	max = 80720
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(4.5%)
	512	94.9%	(10.8%)
	1024	84.1%	(25.4%)
	2048	58.7%	(45.3%)
	4096	13.4%	(13.4%)
523000	mean = 27892.8	max = 77476
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.7%)
	512	95.6%	(9.5%)
	1024	86.1%	(22.5%)
	2048	63.6%	(49.7%)
	4096	13.9%	(13.9%)
524000	mean = 26751.1	max = 79696
	128	100%	(0.3%)
	256	99.7%	(4.2%)
	512	95.5%	(11.3%)
	1024	84.2%	(25.7%)
	2048	58.5%	(45.9%)
	4096	12.6%	(12.6%)
525000	mean = 26616.5	max = 79772
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(3.3%)
	512	95.8%	(12.6%)
	1024	83.2%	(23.9%)
	2048	59.3%	(46.6%)
	4096	12.7%	(12.7%)
526000	mean = 27214	max = 79140
	64	100%	(0.3%)
	128	99.7%	(0.9%)
	256	98.8%	(3.7%)
	512	95.1%	(10.2%)
	1024	84.9%	(24%)
	2048	60.9%	(47.9%)
	4096	13%	(13%)
527000	mean = 26554.2	max = 79524
	128	100%	(0.4%)
	256	99.6%	(4.6%)
	512	95%	(10.4%)
	1024	84.6%	(26.1%)
	2048	58.5%	(46.4%)
	4096	12.1%	(12.1%)
528000	mean = 26511.3	max = 79072
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(4%)
	512	95.6%	(11.8%)
	1024	83.8%	(24.4%)
	2048	59.4%	(46.6%)
	4096	12.8%	(12.8%)
529000	mean = 27825.8	max = 84556
	128	100%	(0.1%)
	256	99.9%	(3.5%)
	512	96.4%	(10.6%)
	1024	85.8%	(21.7%)
	2048	64.1%	(50.7%)
	4096	13.4%	(13.4%)
530000	mean = 26896.9	max = 87496
	64	100%	(0.3%)
	128	99.7%	(0.6%)
	256	99.1%	(4.6%)
	512	94.5%	(10.9%)
	1024	83.6%	(23.3%)
	2048	60.3%	(48.2%)
	4096	12.1%	(12.1%)
531000	mean = 26900.8	max = 79776
	64	100%	(0.2%)
	128	99.8%	(0.8%)
	256	99%	(5.2%)
	512	93.8%	(11.3%)
	1024	82.5%	(22.7%)
	2048	59.8%	(47.1%)
	4096	12.7%	(12.7%)
532000	mean = 27492	max = 78704
	128	100%	(0.4%)
	256	99.6%	(4.8%)
	512	94.8%	(10.1%)
	1024	84.7%	(23.9%)
	2048	60.8%	(46.7%)
	4096	14.1%	(14.1%)
533000	mean = 26177.9	max = 71852
	128	100%	(0.6%)
	256	99.4%	(4.5%)
	512	94.9%	(10.7%)
	1024	84.2%	(26.9%)
	2048	57.3%	(44.8%)
	4096	12.5%	(12.5%)
534000	mean = 27497.9	max = 80508
	128	100%	(0.3%)
	256	99.7%	(5.2%)
	512	94.5%	(9.6%)
	1024	84.9%	(23.1%)
	2048	61.8%	(49%)
	4096	12.8%	(12.8%)
535000	mean = 27210.5	max = 80632
	128	100%	(0.9%)
	256	99.1%	(3.9%)
	512	95.2%	(10.3%)
	1024	84.9%	(26.3%)
	2048	58.6%	(44.6%)
	4096	14%	(14%)
536000	mean = 26855.9	max = 79652
	128	100%	(1.1%)
	256	98.9%	(4.6%)
	512	94.3%	(12.1%)
	1024	82.2%	(24%)
	2048	58.2%	(44.9%)
	4096	13.3%	(13.3%)
537000	mean = 28153.2	max = 81212
	128	100%	(0.6%)
	256	99.4%	(3.6%)
	512	95.8%	(8.5%)
	1024	87.3%	(24.6%)
	2048	62.7%	(49.6%)
	4096	13.1%	(13.1%)
538000	mean = 26508.5	max = 85840
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(5.4%)
	512	94.4%	(10.9%)
	1024	83.5%	(24.4%)
	2048	59.1%	(47.4%)
	4096	11.7%	(11.7%)
539000	mean = 27312.3	max = 80692
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(3.4%)
	512	95.8%	(11.8%)
	1024	84%	(22.6%)
	2048	61.4%	(48.5%)
	4096	12.9%	(12.9%)
540000	mean = 27554.3	max = 112956
	64	100%	(0.3%)
	128	99.7%	(0.5%)
	256	99.2%	(3.1%)
	512	96.1%	(11%)
	1024	85.1%	(23.7%)
	2048	61.4%	(47.3%)
	4096	14.1%	(14%)
	8192	0.1%	(0.1%)
541000	mean = 27102.4	max = 79800
	128	100%	(0.8%)
	256	99.2%	(4.9%)
	512	94.3%	(11%)
	1024	83.3%	(23.4%)
	2048	59.9%	(46.5%)
	4096	13.4%	(13.4%)
542000	mean = 26693.6	max = 78332
	128	100%	(1%)
	256	99%	(4.1%)
	512	94.9%	(12.2%)
	1024	82.7%	(25.1%)
	2048	57.6%	(44.3%)
	4096	13.3%	(13.3%)
543000	mean = 27600	max = 79816
	128	100%	(0.7%)
	256	99.3%	(4.9%)
	512	94.4%	(11%)
	1024	83.4%	(22.3%)
	2048	61.1%	(46.4%)
	4096	14.7%	(14.7%)
544000	mean = 27279.5	max = 78336
	128	100%	(0.4%)
	256	99.6%	(4.3%)
	512	95.3%	(10.7%)
	1024	84.6%	(23.4%)
	2048	61.2%	(48.7%)
	4096	12.5%	(12.5%)
545000	mean = 27603.6	max = 76664
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3.2%)
	512	96.3%	(10.7%)
	1024	85.6%	(24.8%)
	2048	60.8%	(47.3%)
	4096	13.5%	(13.5%)
546000	mean = 27647.6	max = 84728
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(4.2%)
	512	94.8%	(10.1%)
	1024	84.7%	(24.1%)
	2048	60.6%	(46.4%)
	4096	14.2%	(14.2%)
547000	mean = 27323.6	max = 79932
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(2.9%)
	512	96.3%	(12.4%)
	1024	83.9%	(24.6%)
	2048	59.3%	(44.7%)
	4096	14.6%	(14.6%)
548000	mean = 26920.6	max = 80500
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(5.2%)
	512	94.1%	(8.9%)
	1024	85.2%	(26.9%)
	2048	58.3%	(45%)
	4096	13.3%	(13.3%)
549000	mean = 27797	max = 76208
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4%)
	512	95.5%	(10.3%)
	1024	85.2%	(22.8%)
	2048	62.4%	(48.8%)
	4096	13.6%	(13.6%)
550000	mean = 27661	max = 80280
	128	100%	(0.4%)
	256	99.6%	(4.2%)
	512	95.4%	(10.9%)
	1024	84.5%	(21.5%)
	2048	63%	(49.2%)
	4096	13.8%	(13.8%)
551000	mean = 27568.2	max = 79320
	128	100%	(0.7%)
	256	99.3%	(4.5%)
	512	94.8%	(10.9%)
	1024	83.9%	(23%)
	2048	60.9%	(46%)
	4096	14.9%	(14.9%)
552000	mean = 27117.2	max = 75304
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.6%)
	512	95.7%	(9.5%)
	1024	86.2%	(26.6%)
	2048	59.6%	(46.3%)
	4096	13.3%	(13.3%)
553000	mean = 27753.5	max = 79448
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.5%)
	512	95.8%	(9.8%)
	1024	86%	(23.4%)
	2048	62.6%	(48.8%)
	4096	13.8%	(13.8%)
554000	mean = 27316.8	max = 104648
	128	100%	(0.2%)
	256	99.8%	(4%)
	512	95.8%	(10.5%)
	1024	85.3%	(25%)
	2048	60.3%	(46.1%)
	4096	14.2%	(14.1%)
	8192	0.1%	(0.1%)
555000	mean = 27335.8	max = 78356
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(4%)
	512	95.2%	(8.9%)
	1024	86.3%	(24.8%)
	2048	61.5%	(47.9%)
	4096	13.6%	(13.6%)
556000	mean = 26892.4	max = 79160
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(4.1%)
	512	94.9%	(11.7%)
	1024	83.2%	(24.5%)
	2048	58.7%	(45.6%)
	4096	13.1%	(13.1%)
557000	mean = 27135.5	max = 76348
	32	100%	(0.1%)
	64	99.9%	(0.3%)
	128	99.6%	(0.3%)
	256	99.3%	(3.3%)
	512	96%	(11%)
	1024	85%	(23.8%)
	2048	61.2%	(49%)
	4096	12.2%	(12.2%)
558000	mean = 26494.9	max = 113340
	128	100%	(0.7%)
	256	99.3%	(4.6%)
	512	94.7%	(10.7%)
	1024	84%	(25.2%)
	2048	58.8%	(47.6%)
	4096	11.2%	(11.1%)
	8192	0.1%	(0.1%)
559000	mean = 26931.5	max = 76408
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(3.4%)
	512	96.3%	(12.1%)
	1024	84.2%	(25.5%)
	2048	58.7%	(45.7%)
	4096	13%	(13%)
560000	mean = 27494.4	max = 80272
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(3.3%)
	512	96%	(10.2%)
	1024	85.8%	(24.7%)
	2048	61.1%	(47.2%)
	4096	13.9%	(13.9%)
561000	mean = 28251.6	max = 78880
	128	100%	(0.5%)
	256	99.5%	(4.3%)
	512	95.2%	(11.4%)
	1024	83.8%	(22.9%)
	2048	60.9%	(44.4%)
	4096	16.5%	(16.5%)
562000	mean = 27094.7	max = 76680
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(5.1%)
	512	94.4%	(10.4%)
	1024	84%	(24.3%)
	2048	59.7%	(46%)
	4096	13.7%	(13.7%)
563000	mean = 27416.4	max = 76104
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3.8%)
	512	95.7%	(11.1%)
	1024	84.6%	(24.2%)
	2048	60.4%	(46.9%)
	4096	13.5%	(13.5%)
564000	mean = 27763.4	max = 76436
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(2.8%)
	512	96.5%	(10.6%)
	1024	85.9%	(23.3%)
	2048	62.6%	(48.2%)
	4096	14.4%	(14.4%)
565000	mean = 26988.4	max = 80300
	128	100%	(0.4%)
	256	99.6%	(3.7%)
	512	95.9%	(11.9%)
	1024	84%	(23.1%)
	2048	60.9%	(48.1%)
	4096	12.8%	(12.8%)
566000	mean = 27985.3	max = 80476
	128	100%	(0.5%)
	256	99.5%	(4%)
	512	95.5%	(10.2%)
	1024	85.3%	(22.3%)
	2048	63%	(49.6%)
	4096	13.4%	(13.4%)
567000	mean = 27531	max = 80264
	128	100%	(0.6%)
	256	99.4%	(4.3%)
	512	95.1%	(10.6%)
	1024	84.5%	(23.9%)
	2048	60.6%	(45.9%)
	4096	14.7%	(14.7%)
568000	mean = 27627.3	max = 80656
	128	100%	(0.6%)
	256	99.4%	(3.4%)
	512	96%	(12.1%)
	1024	83.9%	(23.7%)
	2048	60.2%	(45.8%)
	4096	14.4%	(14.4%)
569000	mean = 27618.7	max = 76812
	64	100%	(0.4%)
	128	99.6%	(0.5%)
	256	99.1%	(3.7%)
	512	95.4%	(11.3%)
	1024	84.1%	(24.7%)
	2048	59.4%	(43.9%)
	4096	15.5%	(15.5%)
570000	mean = 27513.8	max = 80316
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3.9%)
	512	95.6%	(9.9%)
	1024	85.7%	(23.3%)
	2048	62.4%	(49.3%)
	4096	13.1%	(13.1%)
571000	mean = 27141	max = 79540
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.6%)
	512	94.8%	(10%)
	1024	84.8%	(24.9%)
	2048	59.9%	(46.8%)
	4096	13.1%	(13.1%)
572000	mean = 28182.6	max = 77792
	128	100%	(0.6%)
	256	99.4%	(4.5%)
	512	94.9%	(9.6%)
	1024	85.3%	(22.7%)
	2048	62.6%	(47.4%)
	4096	15.2%	(15.2%)
573000	mean = 28321.1	max = 79252
	128	100%	(0.6%)
	256	99.4%	(3.9%)
	512	95.5%	(9.8%)
	1024	85.7%	(22.8%)
	2048	62.9%	(47.2%)
	4096	15.7%	(15.7%)
574000	mean = 27769.8	max = 105516
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(3.7%)
	512	95.9%	(12%)
	1024	83.9%	(23.7%)
	2048	60.2%	(45.1%)
	4096	15.1%	(15%)
	8192	0.1%	(0.1%)
575000	mean = 28394.8	max = 80284
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(4.1%)
	512	95.2%	(9.5%)
	1024	85.7%	(20.7%)
	2048	65%	(50.7%)
	4096	14.3%	(14.3%)
576000	mean = 27490.9	max = 80452
	128	100%	(0.3%)
	256	99.7%	(3.1%)
	512	96.6%	(10.6%)
	1024	86%	(25%)
	2048	61%	(47.6%)
	4096	13.4%	(13.4%)
577000	mean = 27000.4	max = 78588
	128	100%	(0.5%)
	256	99.5%	(3%)
	512	96.5%	(10.7%)
	1024	85.8%	(24.6%)
	2048	61.2%	(49.8%)
	4096	11.4%	(11.4%)
578000	mean = 27877.7	max = 79888
	128	100%	(0.4%)
	256	99.6%	(4.5%)
	512	95.1%	(10.4%)
	1024	84.7%	(21.7%)
	2048	63%	(48.5%)
	4096	14.5%	(14.5%)
579000	mean = 27951.1	max = 75964
	32	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(3.8%)
	512	95.9%	(11%)
	1024	84.9%	(21.6%)
	2048	63.3%	(49.1%)
	4096	14.2%	(14.2%)
580000	mean = 26799.6	max = 79344
	64	100%	(0.2%)
	128	99.8%	(1.1%)
	256	98.7%	(4%)
	512	94.7%	(11.2%)
	1024	83.5%	(24.1%)
	2048	59.4%	(47.4%)
	4096	12%	(12%)
581000	mean = 28722.5	max = 80472
	128	100%	(0.4%)
	256	99.6%	(3.6%)
	512	96%	(9.8%)
	1024	86.2%	(22.8%)
	2048	63.4%	(48%)
	4096	15.4%	(15.4%)
582000	mean = 26795.6	max = 81008
	64	100%	(0.3%)
	128	99.7%	(0.7%)
	256	99%	(5.4%)
	512	93.6%	(11.4%)
	1024	82.2%	(23.4%)
	2048	58.8%	(44.6%)
	4096	14.2%	(14.2%)
583000	mean = 28154.7	max = 86556
	128	100%	(0.8%)
	256	99.2%	(3%)
	512	96.2%	(10.4%)
	1024	85.8%	(23.8%)
	2048	62%	(47.1%)
	4096	14.9%	(14.9%)
584000	mean = 27734.2	max = 80340
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(3.9%)
	512	95.8%	(10%)
	1024	85.8%	(24.8%)
	2048	61%	(46.5%)
	4096	14.5%	(14.5%)
585000	mean = 27698.1	max = 80332
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4.4%)
	512	95.1%	(10.7%)
	1024	84.4%	(23.4%)
	2048	61%	(46.2%)
	4096	14.8%	(14.8%)
586000	mean = 28288.1	max = 79716
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(4.2%)
	512	95.1%	(9.1%)
	1024	86%	(24.6%)
	2048	61.4%	(45.5%)
	4096	15.9%	(15.9%)
587000	mean = 27451.9	max = 85652
	128	100%	(0.7%)
	256	99.3%	(4.3%)
	512	95%	(12.1%)
	1024	82.9%	(21.9%)
	2048	61%	(46.7%)
	4096	14.3%	(14.3%)
588000	mean = 27475.8	max = 79960
	128	100%	(1%)
	256	99%	(4.8%)
	512	94.2%	(10.5%)
	1024	83.7%	(23.4%)
	2048	60.3%	(45.1%)
	4096	15.2%	(15.2%)
589000	mean = 27922.9	max = 77728
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(4.8%)
	512	94.4%	(9.3%)
	1024	85.1%	(23.3%)
	2048	61.8%	(47.1%)
	4096	14.7%	(14.7%)
590000	mean = 27159.9	max = 82144
	128	100%	(0.3%)
	256	99.7%	(4%)
	512	95.7%	(11%)
	1024	84.7%	(24.3%)
	2048	60.4%	(48%)
	4096	12.4%	(12.4%)
591000	mean = 28107.9	max = 82724
	128	100%	(0.6%)
	256	99.4%	(4.6%)
	512	94.8%	(10.1%)
	1024	84.7%	(23.2%)
	2048	61.5%	(46.8%)
	4096	14.7%	(14.7%)
592000	mean = 27513	max = 80548
	128	100%	(0.4%)
	256	99.6%	(4.4%)
	512	95.2%	(9.1%)
	1024	86.1%	(25.6%)
	2048	60.5%	(46.4%)
	4096	14.1%	(14.1%)
593000	mean = 28562.7	max = 79684
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(3.7%)
	512	95.7%	(8%)
	1024	87.7%	(24.6%)
	2048	63.1%	(47.6%)
	4096	15.5%	(15.5%)
594000	mean = 28202.8	max = 80296
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.2%)
	256	99.6%	(4.8%)
	512	94.8%	(8.7%)
	1024	86.1%	(25.3%)
	2048	60.8%	(45.1%)
	4096	15.7%	(15.7%)
595000	mean = 27901.8	max = 81092
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.7%)
	512	94.7%	(8.9%)
	1024	85.8%	(24.7%)
	2048	61.1%	(46.7%)
	4096	14.4%	(14.4%)
596000	mean = 27679	max = 79252
	64	100%	(0.4%)
	128	99.6%	(0.6%)
	256	99%	(4.5%)
	512	94.5%	(10%)
	1024	84.5%	(24.7%)
	2048	59.8%	(45.2%)
	4096	14.6%	(14.6%)
597000	mean = 28444.3	max = 98576
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.4%)
	512	95.9%	(9.1%)
	1024	86.8%	(25.1%)
	2048	61.7%	(45.3%)
	4096	16.4%	(16.3%)
	8192	0.1%	(0.1%)
598000	mean = 26284	max = 77896
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(4%)
	512	95.1%	(11.7%)
	1024	83.4%	(27.1%)
	2048	56.3%	(43.1%)
	4096	13.2%	(13.2%)
599000	mean = 28499.6	max = 80280
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(3.4%)
	512	96.4%	(10.2%)
	1024	86.2%	(22.5%)
	2048	63.7%	(49%)
	4096	14.7%	(14.7%)
600000	mean = 27229.6	max = 78004
	64	100%	(0.2%)
	128	99.8%	(1%)
	256	98.8%	(4.4%)
	512	94.4%	(11.1%)
	1024	83.3%	(22.3%)
	2048	61%	(47.7%)
	4096	13.3%	(13.3%)
601000	mean = 27443.6	max = 80184
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(3.9%)
